Sample,r,alpha,beta,k,Antag_Lag,Collapse_Lag
138,0.00905483079244024,0.008112716381405188,0.003018147151000794,0.025761748687226596,77.10000000000002,92.80000000000001
139,0.009140148464691111,0.007637110435954619,0.0033389882423925103,0.022625345234824654,92.10000000000002,121.9
140,0.008011841116816729,0.006439761021705012,0.0032296235301062567,0.024140963763960716,96.60000000000002,128.0
141,0.009551015373867903,0.006854169363395049,0.002672734328028093,0.019906667213018495,118.5,155.0
142,0.00859658640877781,0.007702314795422923,0.002903019640589759,0.022862949704945866,90.0,110.9
143,0.01009122847513312,0.007158574800802425,0.0030125905402438296,0.02528273455906059,91.60000000000002,116.20000000000002
144,0.008720665512267429,0.007774695075512715,0.003326127337872071,0.026442149159366914,76.4,95.30000000000001
145,0.0080470983985084,0.008459822156613362,0.0029929046637715844,0.02161012827420972,85.10000000000002,104.10000000000002
146,0.008889666541843306,0.008580073294392322,0.0029933562845935826,0.02210297375590968,84.9,104.20000000000002
147,0.009360182306655158,0.006915327642250934,0.0026182769952977974,0.02070586925615544,113.0,143.9
148,0.007995723765185985,0.006716781060402662,0.002674944455384469,0.02428471446617447,94.30000000000001,114.20000000000002
149,0.008141076227877691,0.007152751387478691,0.003357109568915411,0.023117991865437476,91.9,121.70000000000002
150,0.009452405894006772,0.006762719710203666,0.0027230601169278036,0.020090671627702686,118.20000000000002,155.9
151,0.008106124670294843,0.0070018282628219065,0.002709309435849072,0.02042503071096182,107.60000000000002,136.10000000000002
152,0.007975716851971622,0.007411752228073633,0.002735700346565213,0.022351246328726048,93.4,113.4
153,0.009009226631308112,0.00792838836441607,0.002585380925856989,0.025392878688374206,80.9,93.4
154,0.00934533105162545,0.006558957821884961,0.0033362207616960994,0.026241898079717375,92.20000000000002,122.80000000000001
155,0.007814910491608132,0.006997974708331208,0.003275581151813755,0.02503533523578177,85.70000000000002,109.60000000000002
156,0.008148206752262218,0.006846035977507598,0.0028834248925122437,0.02319181566648524,96.9,121.80000000000001
157,0.009319287883131798,0.007205055689031987,0.0029662812445198326,0.025029821857554962,89.70000000000002,112.0
158,0.007749044647804614,0.006942983124774046,0.0031920146272960974,0.02606249579543352,82.9,103.70000000000002
159,0.009031529093712297,0.0075722553418469596,0.002646454810205798,0.022932412444095947,93.4,112.60000000000002
160,0.009088066619428563,0.006920558633178141,0.002792318907854443,0.022442216300101313,103.10000000000002,130.8
161,0.007704192233999861,0.00709967812256215,0.00274030320629689,0.022094206491723622,96.9,119.0
162,0.007973357755911977,0.008378686381664764,0.0030842332081986437,0.024551925210819982,75.0,89.80000000000001
163,0.009780762344239812,0.007496494947590378,0.0026282282592786812,0.02355937472731165,94.30000000000001,114.10000000000002
164,0.009234471018656373,0.00805223881691474,0.0029384935916067115,0.02069678631654099,97.30000000000001,123.5
165,0.008416194945656555,0.0071919351668969286,0.003131325517198441,0.023794740349635694,90.70000000000002,115.80000000000001
166,0.008611461159924184,0.008594659309784203,0.0030951973374211982,0.0214632152742346,86.10000000000002,107.30000000000001
167,0.00792481267607509,0.006718933063164746,0.0027713619555460576,0.020928162799084295,107.9,138.10000000000002
168,0.008153730964938525,0.007016464129561155,0.0027060362357652795,0.02607339031813871,85.0,100.5
169,0.007866631113286433,0.007555150626533072,0.0029193571442906953,0.02667182653219116,75.9,89.5
170,0.00795250503585374,0.007270175097852918,0.003422523389947831,0.025854894809998922,80.30000000000001,102.60000000000002
171,0.009856094591563055,0.006955281360851114,0.002703798828651059,0.024478816107271772,97.30000000000001,120.10000000000002
172,0.010159315170644482,0.007627716509281341,0.00306445142052291,0.021762053864685386,100.0,130.9
173,0.009727630919618228,0.006795848434254428,0.002841311312763819,0.022778800705928755,105.4,136.10000000000002
174,0.009020548022448028,0.00692042189793393,0.002653353142265283,0.02407323409666701,96.60000000000002,117.80000000000001
175,0.008429302493748689,0.007682785998200876,0.002688926443746782,0.023168169311965175,89.10000000000002,106.30000000000001
176,0.00908799146788928,0.00649160295785046,0.0028529438503745283,0.02074455859180343,116.80000000000001,156.90000000000003
177,0.007821112420276471,0.008602410522877375,0.0028401184604772505,0.025466022376523897,70.4,80.5
178,0.00833752976786216,0.00790838112500384,0.003234205073900718,0.02396851479684883,82.0,102.80000000000001
179,0.008923255709085427,0.007301642056831353,0.002863981439888696,0.0263024087182923,83.30000000000001,100.5
180,0.009892672401026868,0.008546310548999651,0.0026618675011369905,0.024913763651673474,79.10000000000002,92.0
181,0.0101835192334168,0.006782774398872735,0.0026098466406300996,0.024985433338537512,98.9,121.30000000000001
182,0.00920107740558576,0.008269114747706112,0.0026757951389636604,0.025363918509900628,78.20000000000002,90.60000000000002
183,0.008194393764128909,0.006743225871447834,0.0026978392181378937,0.02549887729441736,90.30000000000001,108.4
184,0.009446032495879738,0.007551897205730518,0.0028729474357111523,0.025936631780283628,83.5,101.0
185,0.008709601790041115,0.008212348738811047,0.0029452214177131965,0.022439841561680104,86.70000000000002,106.30000000000001
186,0.008899235421307937,0.007053100216869319,0.003222848442158626,0.02331901552674643,95.60000000000002,126.10000000000002
187,0.008276974276896406,0.008399042789867778,0.0028955020992358902,0.02360443449918678,79.4,94.4
188,0.010097474699604276,0.007779535490806481,0.0026552082366375278,0.02637442654405819,82.20000000000002,96.60000000000002
189,0.009344811743292826,0.007128537632978443,0.0026753448653970484,0.025355236072999367,90.4,108.70000000000002
190,0.009324196441006984,0.007575287456946723,0.0033545033247458617,0.02531729450645947,83.70000000000002,107.80000000000001
191,0.008059522175278427,0.007076374652539983,0.0027736402258330193,0.02500518458508301,87.4,104.9
